taxa	determinant	coefficient	stdev	pvalue	formula	method	n	freq
t114	General.Age	-0.33501265030734406	0.07535937371395715	2.7786590510360684e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t114	Reproductive.haschildrenTRUE	0.18880778923554334	0.15606320755952413	0.03757420928146156	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t114	Technical.dna_conc	-0.15981242549932184	0.06190449316309163	9.34220039117791e-6	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t115	(Intercept)	5.320623172197243	0.08417939581025803	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t115	General.Age	-0.3355285501138168	0.07535664011179664	2.5038750902201642e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t115	Reproductive.haschildrenTRUE	0.19668545952985392	0.15606689628365852	0.030267952297007253	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t115	Technical.dna_conc	-0.1509371860131675	0.06193477884835762	2.8481900971973603e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t116	(Intercept)	5.334797782603097	0.0842650863948203	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t116	General.Age	-0.3386343995243898	0.07540767027385235	1.5684091429862914e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t116	Reproductive.haschildrenTRUE	0.18971793615915403	0.1561797909462054	0.03687884947167678	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t116	Technical.dna_conc	-0.16243755496402693	0.06194358427960509	6.801109420043674e-6	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t117	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t117	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
